Position,Games,FantasyPoints,PlayerID,AvgFPPG
RB,16,132.0,javonte williams0,8.25
WR,16,131.0,courtland sutton0,8.1875
WR,9,73.0,christian watson0,8.11111111111111
WR,16,129.0,zay flowers0,8.0625
RB,17,137.0,devin singletary0,8.058823529411764
QB,3,24.0,andy dalton0,8.0
WR,12,96.0,tee higgins0,8.0
QB,10,80.0,ryan tannehill0,8.0
RB,17,135.0,jaylen warren0,7.9411764705882355
QB,11,87.0,tyrod taylor0,7.909090909090909
WR,8,63.0,kendrick bourne0,7.875
WR,13,102.0,diontae johnson0,7.846153846153846
RB,12,93.0,khalil herbert0,7.75
WR,12,93.0,christian kirk0,7.75
QB,3,23.0,jacoby brissett0,7.666666666666667
WR,17,130.0,terry mclaurin0,7.647058823529412
RB,8,61.0,keaton mitchell0,7.625
WR,17,128.0,adam thielen0,7.529411764705882
TE,16,120.0,david njoku0,7.5
WR,16,119.0,brandin cooks0,7.4375
WR,17,126.0,chris godwin0,7.411764705882353
WR,15,110.0,rashid shaheed0,7.333333333333333
RB,17,124.0,ezekiel elliott0,7.294117647058823
QB,4,29.0,drew lock0,7.25
WR,17,123.0,tyler lockett0,7.235294117647059
RB,17,120.0,tyler allgeier0,7.0588235294117645
WR,1,7.0,tyler johnson0,7.0
WR,17,118.0,garrett wilson0,6.9411764705882355
TE,16,111.0,taysom hill0,6.9375
RB,15,104.0,kareem hunt0,6.933333333333334
QB,10,69.0,bailey zappe0,6.9
WR,10,69.0,josh palmer0,6.9
WR,10,69.0,noah brown0,6.9
WR,17,116.0,gabriel davis0,6.823529411764706
TE,17,116.0,evan engram0,6.823529411764706
WR,17,115.0,romeo doubs0,6.764705882352941
